file	bytes	sha256
adopt-006-a3.py	2609	6bbc2721f35903a04ac1d7dbddba5ba7c2edd60f92880d29c74923d845cc8384
adopt-recovery006.py	2958	4b5bb363954cbcc626e7ca49420722729f480f01ef2cc588d2dfddbadaa02194
adopt-recovery017.py	4084	a28f6cc3c97389fe1cce5153acd7d5ae4b10a7ce7ee74a1b69d4f7dabb8e47e6
agent-brief.md	6580	2036d2c99cb82a85ea8dce6a5cc562d5c6aaf4c1ee852388d8bc191f624c794b
amend_graph_r4.py	5088	b5784cf758eb574abf6c555d618d2251f7c56c9ca6ced756aa7148ca0cc7e764
check-python311.py	2024	87e498fc98684290abcc9ebc93ae64079b07461b48871f8a5eabf83adff719b7
check-runtime-metadata.py	927	e9fb6ec9125c55ac2f808857a64b681717bdab25572e530d9abd136bdc3428b3
checkpoint-006-a2-failure.py	4172	9dece78b76067c09cec309d921c168ec667ea578f952e6b6d8620298052db503
checkpoint-014.py	3069	cbceffa2393b7bd44fd158d43d14a68bc04f5da1a0d9daaab52d758dd7d6fd55
checkpoint-017-active.py	3679	42acf57e0aead0f9c10332f3372e45af3ffed1bb9eb2cc850a945dd77c55f6ae
checkpoint-017-queued.py	3694	a31f60e5e36a9e96fa54e70767932bbf7349a47934f6552e78dcc2a8b165aa10
cleanup-obsolete-worktrees.py	3745	470c502813883c4715e863f7c03bc6471b2584a2f0002b565dd60751981a2894
contracts-probe.py	1173	e37260f5930b00623e3176ef12ba4caa6f16430c67c88cad169628289ac878b3
contracts-reference-probe.py	1167	798f7d65c837b2dfeb24eee86882cdac06a0e1f2e4026da20aaad7a3d6fef89e
coordinator.py	23344	05944a0c49acec76fcd038c0c7b2a281139b0456e8ee773fd060e540857d7e58
count-native-invocations.py	1885	6e8d554ea97c9fc10d9ef0738800dd1ee1e3c2efa929e40e60d474e38b502cde
CURRENT.md	36377	738c637fafb6274448dbb73417cb8de69a9e95dd377eb52952d9763df128f59e
diagnose-a3-runtime.py	1598	4b09847428179a5145401a5252f4668fd6e14509d5f402718cae5b6a38a9766d
git-port-readiness.md	9394	dcf9cd105be686ff7a2177f8a293ace4f388dbf077dfbfa322dcb4f45db2c14a
implementation-notes.md	38134	03d78c9d5d6ee8597c8c70d4fcb35cc1815bdf32c0321a8303fd6e38935fea0d
linux-TASK-006-c3c2ba21c644-venv.txt	2275	d399f02c4349906ee5e9a271062e7b5f665b12115a2d523d9998a3c89cb335a2
linux-TASK-006-c3c2ba21c644.txt	1459	b0ff8b82a8f077bf58346efd0d83043c5b4e96509779e8f01751a86853f69462
native-invocations-current.json	14195	2c1e97bbe540e1271d938ce9e14f5c426535c978b76772ff8c2f263b888cd7c6
native-invocations.json	3367	ba24c425e3bf6bbbbdbdf6f39be0c1ca91a8ecb29851b3b27569c54cc239edb6
next-agent-dispatch.md	2180	5b29503f98de26192c23e3e37e79880940a29fc3c98b9e4afd6360db9a89e5ad
next-candidate-dispatch.md	1988	cef37ab047c88faa34e9a898e473c8122848cc4915c80bb8d00bb5cda6406926
next-command-dispatch.md	2581	4c685b14ab871d638da55db14d2e7f97063791729c33beb8a86d16de28452fd9
next-context-dispatch.md	1902	65179f400382ed17928314395526e3a4a4813a4a3b9d15d1ef941542f51f4be3
next-git-dispatch.md	5546	1e453129e40ea1a31276eaf5ad060f1039922445dd6caf7085b31d223436f74e
next-isolation-dispatch.md	1843	9504a156f3624df45e2069897bc6be6dd341ee1171dc48c73312ad72f3a52416
next-packaging-dispatch.md	3347	6147524409411e760ce6ce06fd703ac57da6cab06a8f137d13495a35f7e7cdbc
next-recovery-proposals-dispatch.md	2824	81b2ddef065024f8bebd79fadf551f01ada3fc134900ec77be73d484361c49cc
next-review-gates-dispatch.md	1871	579ad5bac368ca085199b40fa7d35416b86ae0e9bc9daa65b55c2589c58c736d
next-state-dispatch.md	3604	4a8067fbaadb48e83d4bf430cea02e9780f05366e1041284e21eb460e09b034a
next-validation-dispatch.md	2403	2335cbb0ca98cb8a2a260d3b3d886e88df276678b34798dfda0fb1fdc736c957
preflight-queued.py	2058	85770b91549b7f42f6024b6564504dc3e3a731da6f782b765eb6ce3163bdd352
preflight017.py	1910	d25af56b8376b410fa20fd1261b5211e5c15823cda71c9e809620be3aca76a20
preserve-006-a2-failure.py	6917	18e1ffa8b563e09f035f88f32da3f79f3a3f62e326380743401c1fad03209feb
python311-baseline-linux.txt	9327	8eaa2ece1d893976d1744e88b55ac70ef593f757f57ad1cc56cfd5af99a9e5b9
python311-baseline.txt	9105	49f9889e1422e777415a3dd8a4144d6c89012b8b7f41be129b447d596a3e4b54
record-a3-probe-classification.py	8525	b59267a93f5bafc133045f05d3d96e0c5c3f8e98c1c75c4382e098568d7816fb
review-024-focus.md	1281	dd6797a9f670b9eff357c6b7d63d1343825369e982c5b561df3f26e5d8701d13
reviewer-brief.md	4597	deb771161d7c2d56bf36480bf89861b441a3485b88c31cd92571b54b0debcc59
TASK-005-a2-linux311-preflight.txt	1264	233e1ec21814f208dead22c644702fea773a3f052994f26611c39b2a9fb7ce24
TASK-006-a3-runtime-diagnosis.txt	1944	ead59b4df5cff812fc35fb1ec2a0b6c6e744b467872b777cd448062c22c535fd
TASK-016-a1-linux311-preflight.txt	1363	bbfbd55154e91c9bef097a19d4965b6510ff34aa483665526c240efff17ef538
TASK-017-linux311-preflight.txt	788	98e14f5072d8f2f7f4a5af7aec0b35b8f474449a8feb0534811f55de04617d8b
verify-queued-origins.py	1677	35673525cf97669ab8cec2a2022dc87ed166e66b0155d8bac0ebcf8f41218775
